sex race time.infect infector.race seed
1 1 2758 1 157
1 1 2819 1 166
1 1 3201 1 166
1 2 3280 2 234
1 2 3280 2 234
1 2 3318 2 234
1 2 2707 2 234
1 2 2671 2 234
1 2 2836 2 157
1 2 3450 2 234
1 2 3539 2 234
1 2 2705 2 234
1 2 2116 2 234
1 2 3098 2 234
1 2 2671 2 234
1 2 2009 2 234
1 2 1 2 234
1 2 1533 2 234
1 2 3304 2 188
1 2 3139 2 234
1 2 3020 2 188
1 2 1614 2 157
1 2 3125 2 234
1 2 3595 2 157
1 2 3479 2 234
1 2 2838 2 157
1 2 712 2 234
1 2 2337 2 188
1 2 3490 2 157
1 2 2308 2 188
1 2 3573 2 234
1 2 38 2 188
1 2 1279 2 234
1 2 3513 2 188
1 2 1757 2 234
1 2 3022 2 188
1 2 3579 2 157
1 2 2823 2 234
1 2 2442 2 234
1 2 3359 2 234
1 2 3284 2 157
1 2 1138 2 234
2 1 2691 1 234
2 1 2788 1 212
2 1 3262 1 157
2 1 3123 1 212
2 1 3194 1 212
2 1 1764 1 157
2 1 842 1 166
2 1 2652 1 157
2 1 2928 1 157
2 1 3144 1 157
2 1 3098 1 234
2 1 2775 1 166
2 1 2855 1 166
2 1 1145 1 166
2 1 2767 1 166
2 1 2943 1 157
2 1 2044 1 212
2 1 3374 1 166
2 1 1918 1 157
2 1 1151 1 166
2 1 1920 1 166
2 1 2948 1 157
2 1 3540 1 234
2 1 1771 1 166
2 1 0 1 157
2 1 3119 1 166
2 1 3463 1 157
2 1 3097 1 188
2 1 3247 1 157
2 1 1517 1 157
2 1 2037 1 212
2 1 1309 1 212
2 1 461 1 157
2 1 0 1 166
2 1 3533 1 166
2 1 3560 1 212
2 1 2376 1 166
2 1 2549 1 157
2 1 3194 1 212
2 1 3099 1 234
2 1 2265 1 166
2 1 3319 1 166
2 1 2404 1 212
2 1 2881 1 157
2 1 2652 1 157
2 1 1795 1 157
2 1 2118 1 166
2 1 1769 1 157
2 1 3016 1 166
2 1 3028 1 166
2 1 2639 1 157
2 1 3353 1 166
2 1 3422 1 166
2 1 3556 1 157
2 1 3039 1 188
2 1 0 1 188
2 1 3533 1 157
2 1 1465 1 157
2 1 508 1 157
2 1 1620 1 166
2 1 1934 1 166
2 1 3360 1 166
2 1 2861 1 157
2 1 2184 1 157
2 1 3432 1 166
2 1 3170 1 166
2 1 2588 1 166
2 1 3104 1 166
2 1 3290 1 157
2 1 3557 1 234
2 1 1476 1 234
2 1 2929 1 166
2 1 3584 1 166
2 1 2899 1 188
2 1 3147 1 166
2 1 1256 1 157
2 1 3540 1 188
2 1 2037 1 157
2 1 3535 1 166
2 1 0 1 212
2 1 3081 1 166
2 1 3298 1 166
2 1 3474 1 166
2 2 2458 2 157
2 2 2704 2 234
2 2 3279 2 234
2 2 2996 2 234
2 2 1999 2 234
2 2 2839 2 157
2 2 3552 2 234
2 2 3489 2 157
2 2 3319 2 188
2 2 1758 2 234
2 2 2837 2 157
2 2 3358 2 234
2 2 1058 2 234
2 2 3573 2 157
2 2 1730 2 166
2 2 3566 2 234
2 2 3023 2 234
2 2 2470 2 188
2 2 0 2 234
2 2 2747 2 234
2 2 3172 2 157
2 2 2989 2 234
2 2 2115 2 234
2 2 3403 2 212
2 2 2706 2 234
2 2 3242 2 157
2 2 3506 2 234
2 2 3541 2 234
2 2 2309 2 188
2 2 1678 2 188
2 2 281 2 234
2 2 3021 2 188
2 2 1383 2 234
2 2 2670 2 234
2 2 2843 2 188
2 2 3434 2 188
2 2 3076 2 188
2 2 3574 2 234
2 2 1984 2 188
2 2 3574 2 234
2 2 2578 2 234
